PostID,Title,Post URL,Uploaded Date,Likes,Comments,Shares
2.88544E+15,"Inspiradas en el espacio 🚀. Diseñadas para usarse en el planeta Tierra 🌎.
#ULTRABOOST 20 disponible próximamente en tiendas adidas.

ULTRABOOST 20
Despega con energía

ULTRABOOST 20
Aterriza con control

ULTRABOOST 20
Corre con comodidad",https://facebook.com/adidas/posts/2885444178145149,12/11/2019 19:00,1192,29,22
2.88219E+15,"Inspiradas en el espacio 🚀. Diseñadas para usarse en el planeta Tierra 🌎.
#ULTRABOOST 20 disponible en tiendas adidas.
http://a.did.as/61871TIA7

ULTRABOOST 20
Despega con energía

ULTRABOOST 20
Aterriza con control

ULTRABOOST 20
Corre con comodidad",https://facebook.com/adidas/posts/2882194358470131,12/10/2019 8:38,994,32,14
2.88219E+15,"Unas zapatillas fuera de este mundo 🚀.
#ULTRABOOST 20 disponible en tiendas adidas.
#adidasRunning
http://a.did.as/61891TIAL",https://facebook.com/adidas/posts/2882193668470200,12/10/2019 8:37,1464,171,67
2.69591E+15,title 06,https://facebook.com/adidas/posts/2695913277098241,11/25/2019 5:43,4085,200,141
1.83577E+15,title 07,https://facebook.com/adidas/posts/1835768856446025,11/25/2019 5:42,35187,2838,1170
2.83002E+15,title 08,https://facebook.com/adidas/posts/2830022950353939,11/18/2019 19:20,5685,114,90
2.83002E+15,title 09,https://facebook.com/adidas/posts/2830022440353990,11/18/2019 19:20,1824,53,25
2.68306E+15,title 10,https://facebook.com/adidas/posts/2683055758383993,9/12/2019 19:56,2764,104,36
2.68306E+15,title 11,https://facebook.com/adidas/posts/2683055031717399,9/12/2019 19:55,5643,86,63
2.66325E+15,"No son solo zapatillas. Es ese BOOST adicional que nos hace falta cuando más nos cuesta. Sal a correr.

Feel the Boost
#ULTRABOOST 19

Sal a correr
ULTRABOOST 19

Energía ilimitada
ULTRABOOST 19",https://facebook.com/adidas/posts/2663249590364610,9/2/2019 1:30,1365,81,21
